lease_id,owner_id,store_id,certificate_number,issue_date,start_date,expiry_date,monthly_fee,payment_interval,is_active
1,1,1,1170842,2020-03-16,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
2,1,2,1170842,2020-03-16,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
3,2,3,675434,2018-02-03,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
4,3,4,5344221,2023-03-06,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
5,4,5,5166250,2022-12-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
6,5,6,5454228,2023-05-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
7,6,7,1168573,2020-03-11,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
8,7,8,20133,2016-09-04,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
9,8,9,515316,2017-04-14,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
10,9,10,5054248,2022-10-03,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
11,10,11,851408,2018-11-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
12,11,12,5593372,2023-08-08,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
13,12,13,6892062,2025-05-05,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
14,13,14,1275498,2020-10-05,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
15,14,15,5345073,2023-03-06,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
16,15,16,733628,2018-04-18,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
17,16,17,1731451,2022-07-15,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
18,17,18,1526983,2022-02-21,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
19,18,19,20986,2017-02-06,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
20,19,20,5164658,2022-12-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
21,20,21,1170851,2020-03-16,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
22,21,22,1120564,2020-01-17,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
23,22,23,1042839,2019-08-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
24,23,24,6843591,2025-04-08,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
25,24,25,570043,2017-08-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
26,25,26,922606,2019-02-02,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
27,26,27,1748733,2022-08-04,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
28,27,28,5089583,2022-10-24,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
29,28,29,1011867,2019-06-03,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
30,29,30,1155,2015-08-13,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
31,30,31,5087147,2022-10-21,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
32,31,32,18813,2016-02-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
33,32,33,1498868,2022-01-06,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
34,33,34,1707247,2022-06-10,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
35,34,35,1673009,2022-05-10,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
36,35,36,1401270,2021-06-01,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
37,36,37,21025,2017-02-08,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
38,37,38,21347,2017-03-02,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
39,38,39,5722048,2023-11-20,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
40,39,40,5464962,2023-05-08,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
41,39,41,5464962,2023-05-08,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
42,40,42,5181164,2022-12-13,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
43,41,43,828588,2018-10-03,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
44,42,44,1290227,2020-11-03,2025-10-01,2025-12-31,442500.0,MONTHLY,TRUE
45,42,45,1290227,2020-11-03,2025-10-01,2025-12-31,442500.0,MONTHLY,TRUE
46,43,46,5743067,2023-12-04,2025-10-01,2025-12-31,442500.0,MONTHLY,TRUE
47,43,47,5743067,2023-12-04,2025-10-01,2025-12-31,442500.0,MONTHLY,TRUE
48,44,48,1162768,2020-03-05,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
49,45,49,1167029,2020-03-10,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
50,44,50,1162768,2020-03-05,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
51,46,51,1480894,2021-11-12,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
52,47,52,644558,2018-01-05,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
53,47,53,644558,2018-01-05,2025-10-01,2025-12-31,590000.0,MONTHLY,TRUE
