store_id,store_number,area,type,description
1,177,6.0,SHOP,озик овқат ва ноозиқ овқат
2,178,6.0,SHOP,озик овқат ва ноозиқ овқат
3,179,6.0,SHOP,озик овқат ва ноозиқ овқат
4,180,6.0,SHOP,озик овқат ва ноозиқ овқат
5,181,6.0,SHOP,озик овқат ва ноозиқ овқат
6,182,6.0,SHOP,озик овқат ва ноозиқ овқат
7,183,6.0,SHOP,озик овқат ва ноозиқ овқат
8,184,6.0,SHOP,озик овқат ва ноозиқ овқат
9,185,6.0,SHOP,озик овқат ва ноозиқ овқат
10,186,6.0,SHOP,озик овқат ва ноозиқ овқат
11,187,6.0,SHOP,озик овқат ва ноозиқ овқат
12,188,6.0,SHOP,озик овқат ва ноозиқ овқат
13,189,6.0,SHOP,озик овқат ва ноозиқ овқат
14,190,6.0,SHOP,озик овқат ва ноозиқ овқат
15,191,6.0,SHOP,озик овқат ва ноозиқ овқат
16,192,6.0,SHOP,озик овқат ва ноозиқ овқат
17,193,6.0,SHOP,озик овқат ва ноозиқ овқат
18,194,6.0,SHOP,озик овқат ва ноозиқ овқат
19,195,6.0,SHOP,озик овқат ва ноозиқ овқат
20,196,6.0,SHOP,озик овқат ва ноозиқ овқат
21,197,6.0,SHOP,озик овқат ва ноозиқ овқат
22,198,6.0,SHOP,озик овқат ва ноозиқ овқат
23,199,6.0,SHOP,озик овқат ва ноозиқ овқат
24,200,6.0,SHOP,озик овқат ва ноозиқ овқат
25,201,6.0,SHOP,озик овқат ва ноозиқ овқат
26,202,6.0,SHOP,озик овқат ва ноозиқ овқат
27,203,6.0,SHOP,озик овқат ва ноозиқ овқат
28,204,6.0,SHOP,озик овқат ва ноозиқ овқат
29,205,6.0,SHOP,озик овқат ва ноозиқ овқат
30,206,6.0,SHOP,озик овқат ва ноозиқ овқат
31,207,6.0,SHOP,озик овқат ва ноозиқ овқат
32,208,6.0,SHOP,озик овқат ва ноозиқ овқат
33,209,6.0,SHOP,озик овқат ва ноозиқ овқат
34,210,6.0,SHOP,озик овқат ва ноозиқ овқат
35,211,6.0,SHOP,озик овқат ва ноозиқ овқат
36,212,6.0,SHOP,озик овқат ва ноозиқ овқат
37,213,6.0,SHOP,озик овқат ва ноозиқ овқат
38,214,6.0,SHOP,озик овқат ва ноозиқ овқат
39,215,6.0,SHOP,озик овқат ва ноозиқ овқат
40,216,6.0,SHOP,озик овқат ва ноозиқ овқат
41,217,6.0,SHOP,озик овқат ва ноозиқ овқат
42,218,6.0,SHOP,озик овқат ва ноозиқ овқат
43,219,6.0,SHOP,озик овқат ва ноозиқ овқат
44,220,4.5,SHOP,озик овқат ва ноозиқ овқат
45,221A,4.5,SHOP,озик овқат ва ноозиқ овқат
46,221B,4.5,SHOP,озик овқат ва ноозиқ овқат
47,222,4.5,SHOP,озик овқат ва ноозиқ овқат
48,223,6.0,SHOP,озик овқат ва ноозиқ овқат
49,224,6.0,SHOP,озик овқат ва ноозиқ овқат
50,225,6.0,SHOP,озик овқат ва ноозиқ овқат
51,226,6.0,SHOP,озик овқат ва ноозиқ овқат
52,227,6.0,SHOP,озик овқат ва ноозиқ овқат
53,228,6.0,SHOP,озик овқат ва ноозиқ овқат
